Ceiling type,Deck construction,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Total Price
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Metal,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Tar and gravel,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Wood shakes,Light,nan,R-56
